product_id,category,price,competitor_price,discount,units_sold,date,season,day_of_week,stock_available,marketing_spend,customer_rating
P039,Sports,1716.21,1805.14,13.9,53,2025-02-08,Winter,Saturday,348,893.21,4.5
P021,Electronics,1051.88,1007.69,0.2,37,2024-11-30,Fall,Saturday,468,132.49,4.0
P044,Sports,1107.1,1117.92,6.0,41,2025-08-13,Summer,Wednesday,459,470.8,3.6
P017,Sports,409.8,422.11,3.3,64,2024-12-03,Winter,Tuesday,406,746.12,4.3
P008,Sports,176.89,162.61,2.0,62,2024-01-15,Winter,Monday,497,75.95,4.5
P035,Home,1576.85,1688.84,7.6,28,2025-02-18,Winter,Tuesday,422,50.14,4.8
P037,Home,1243.9,1289.47,2.1,31,2025-03-05,Spring,Wednesday,397,620.08,4.3
P032,Electronics,1080.2,996.76,11.5,60,2024-06-24,Summer,Monday,40,1431.07,4.9
P028,Clothing,974.1,926.54,6.6,47,2023-07-09,Summer,Sunday,229,158.82,2.8
P006,Home,922.21,847.03,6.0,46,2024-03-17,Spring,Sunday,56,141.76,4.6
P037,Electronics,2993.67,2887.87,4.5,28,2024-12-30,Winter,Monday,164,402.48,4.5
P017,Beauty,524.23,531.3,5.7,62,2023-07-06,Summer,Thursday,330,595.06,3.5
P036,Home,1465.63,1402.77,13.0,27,2025-05-21,Spring,Wednesday,133,563.03,4.2
P031,Clothing,461.12,486.1,10.8,70,2023-01-02,Winter,Monday,389,48.86,2.8
P035,Home,1493.02,1566.79,12.3,29,2025-05-27,Spring,Tuesday,342,332.39,3.3
P036,Electronics,250.61,250.29,2.3,54,2024-02-05,Winter,Monday,132,420.02,3.6
P022,Beauty,415.06,410.38,8.1,63,2025-10-16,Fall,Thursday,321,345.77,4.6
P017,Sports,1698.78,1752.7,5.3,23,2025-09-19,Fall,Friday,120,174.39,4.5
P003,Clothing,879.52,891.71,8.4,55,2025-08-19,Summer,Tuesday,131,365.25,3.2
P033,Electronics,2166.96,2264.18,3.1,59,2025-07-09,Summer,Wednesday,412,1222.31,4.2
P045,Sports,1204.94,1296.9,14.1,55,2024-12-27,Winter,Friday,451,18.3,2.7
P022,Clothing,1304.57,1109.69,15.2,52,2025-09-30,Fall,Tuesday,112,487.61,5.0
P040,Sports,325.67,322.88,6.7,59,2025-03-01,Spring,Saturday,131,595.32,4.4
