date,product_id,product_name,quantity_sold,amazon_price,meesho_price,discount_pct,stock_quantity,rating,num_reviews,page_views,conversion_rate,demand_intensity,cost,profit
2024-05-10 00:00:00,P0010,SmartGen Headphones Plus,2,2236.79,2100.72,0.0,310,3.6,66,69,4.35,3.0,3601.5,872.08
2024-10-06 00:00:00,P0019,UrbanWear Shoes Premium,4,262.03,242.12,0.0,292,4.7,107,329,0.61,2.01,683.96,364.15
15-05-2024,P0022,StyleHub Shoes Pro,3,48.82,42.43,9.86,435,4.1,256,342,0.29,0.99,102.48,43.98
23-01-2025,P0006,TechPro Headphones Standard,1,2401.75,2196.13,0.0,375,4.1,117,174,0.57,0.99,1717.87,683.88
2024-03-04 00:00:00,P0047,StoryWorld Children Pro,5,50.58,45.79,0.0,448,4.7,366,357,0.28,1.0,189.9,62.99
2024-10-09 00:00:00,P0023,TrendSet Jeans Standard,4,355.44,324.01,0.0,185,4.2,226,260,0.38,0.99,1090.72,331.05
2024-12-03 00:00:00,P0045,ClassicPress Non-Fiction Pro,2,38.71,34.7,9.6,469,4.5,125,490,0.41,2.01,59.74,17.69
2024-02-12 00:00:00,P0025,ModernSpace Decor Premium,4,382.06,349.96,0.0,91,4.4,355,254,0.79,2.01,1035.52,492.72
2024-02-05 00:00:00,P0031,KitchenPro Decor Plus,4,210.59,192.07,0.0,401,4.3,138,63,3.17,2.0,588.36,254.01
17-11-2024,P0010,SmartGen Headphones Plus,5,2177.01,1932.65,0.0,310,3.6,66,301,0.33,0.99,9003.75,1881.29
2024-09-12 00:00:00,P0044,AcademiaBooks Textbooks Elite,6,36.93,32.68,0.0,288,3.8,252,407,0.25,1.02,148.26,73.31
2024-05-05 00:00:00,P0008,ElectroMax Smartwatches Plus,1,1803.8,1630.71,0.0,470,4.1,43,249,1.2,2.99,1385.0,418.8
20-11-2024,P0039,AcademiaBooks Comics Plus,3,95.1,89.27,0.0,347,3.6,315,76,1.32,1.0,227.25,58.05
2024-06-03 00:00:00,P0024,TrendSet Jackets Premium,6,73.96,71.91,13.6,426,4.0,35,232,0.43,1.0,380.04,63.74
2024-08-09 00:00:00,P0023,TrendSet Jeans Standard,6,368.39,349.48,0.0,185,4.2,226,439,0.23,1.01,1636.08,574.27
24-07-2024,P0018,StyleHub T-Shirts Pro,4,282.91,262.54,0.0,490,3.9,352,428,0.23,0.98,872.8,258.83
30-04-2024,P0002,TechPro Laptops Premium,2,220.16,198.91,23.18,151,4.3,122,74,4.05,3.0,465.42,-25.09
2024-09-12 00:00:00,P0018,StyleHub T-Shirts Pro,4,281.97,272.78,0.0,490,3.9,352,260,0.38,0.99,872.8,255.09
14-06-2024,P0028,HomeEssence Bedding Pro,2,27.44,24.04,0.0,87,3.9,487,165,1.82,3.0,39.04,15.85
2024-02-05 00:00:00,P0031,KitchenPro Decor Plus,1,167.46,152.01,14.89,401,4.3,138,63,3.17,2.0,147.09,20.37
2024-12-09 00:00:00,P0013,UrbanWear Dresses Premium,6,213.65,192.39,0.0,361,4.6,286,290,0.34,0.99,972.9,308.98
2024-06-11 00:00:00,P0034,KitchenPro Storage Pro,6,48.4,47.29,0.0,233,4.5,191,410,0.24,0.98,211.74,78.64
24-11-2024,P0014,StyleHub Jackets Elite,3,236.81,229.18,14.79,499,3.9,133,460,0.22,1.01,563.1,147.32
27-10-2024,P0014,StyleHub Jackets Elite,3,278.11,239.04,0.0,499,3.9,133,354,0.28,0.99,563.1,271.24
31-01-2025,P0020,StyleHub T-Shirts Pro,1,288.22,253.44,0.0,394,3.6,216,406,0.25,1.01,204.52,83.7
21-05-2024,P0012,TechPro Laptops Elite,2,1728.18,1636.6,0.0,107,4.2,498,434,0.46,2.0,2758.68,697.68
28-06-2024,P0001,TechPro Laptops Pro,2,1818.71,1584.88,0.0,396,3.6,226,388,0.52,2.02,2992.04,645.38
